keyword,title,company,location,employment_type,industry,education,experience,salary,posting,expiration,url
노인,시흥실버인력뱅크 2025년 사회복지사(육아휴직 대체자) 모집공고,시흥실버인력뱅크,지역 비어있음,계약직,사회복지,학력무관,경력 4~10년,월급 230만원,2025-07-30T14:46:46+0900,2025-08-17T18:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51430326&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,한결소래빌리지 요양원 요양보호사 모집 공고,한결소래빌리지,"경기 &gt; 시흥시,인천 &gt; 남동구","무기계약직,계약직",사회복지,학력무관,경력무관,월급 253만원,2025-07-30T14:39:06+0900,2025-08-15T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51430243&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,주식회사 KB골든라이프케어 서초 빌리지 물리(작업)치료사 모집,주식회사 KB골든라이프케어 서초 빌리지,서울 &gt; 서초구,"기간제,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-07-30T13:43:34+0900,2033-01-01T00:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51429675&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[창녕다사랑재가노인복지센터]주간보호 요양보호사,창녕다사랑노인복지센터,"대구 &gt; 달성군,경남 &gt; 창녕군","계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 210만원,2025-07-30T13:20:47+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51429494&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,시립중계노인전문요양원병설데이케어센터 요양보호사 모집,시립중계노인전문요양원병설데이케어센터,서울 &gt; 노원구,계약직,사회복지,학력무관,경력무관,월급 185만원,2025-07-30T12:32:25+0900,2025-08-14T12:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51429163&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호센터 간호사 채용 (대전 서구점),케어링커뮤니티케어(주),대전 &gt; 서구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 280만원,2025-07-30T11:14:05+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51428488&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,청운주간보호센터와 함께 할 조리사 공개 채용,청운주간보호센터,대구 &gt; 수성구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,신입/경력,면접후 결정,2025-07-30T10:57:25+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51428282&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,행복플러스복지센터 [주간보호 요양보호사] 구인,행복플러스복지센터,대전 &gt; 서구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,면접후 결정,2025-07-30T09:50:57+0900,2025-08-31T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51427273&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,천안 행복한요양원 - 요양보호사 모집,(주)덕양시니어,충남 &gt; 천안시 서북구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 230만원,2025-07-30T09:49:56+0900,2025-09-28T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51427251&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,주야간보호센터   주간요양보호사 채용,수유데이케어센터,서울 &gt; 강북구,"무기계약직,계약직",사회복지,학력무관,경력무관,월급 210만원,2025-07-29T17:16:50+0900,2033-01-01T00:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51421866&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,태릉참실버케어 요양보호사 신입/경력 채용(주주야야휴휴),태릉참실버케어,서울 &gt; 노원구,계약직,사회복지,학력무관,경력무관,면접후 결정,2025-07-29T16:43:17+0900,2033-12-31T00:00:00+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51421440&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,원광장애인종합복지관 최중증발달장애인 통합돌봄 제공인력 공고,원광장애인종합복지관(꿈앤카페다솜),서울 &gt; 중랑구,계약직,사회복지,학력무관,신입/경력,면접후 결정,2025-07-29T15:14:10+0900,2025-08-13T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51420162&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,에이원데이케어 목동센터 요양보호사 모집,에이원데이케어당산센터,서울 &gt; 양천구,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력 2~3년,월급 214만원,2025-07-29T12:51:17+0900,2025-08-29T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51418489&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[썬시티] 라우어 시니어타운 간호사  채용,(주)썬시티,부산 &gt; 기장군,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력3년↑,"연봉 3,600만원",2025-07-29T11:05:22+0900,2025-08-28T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51417449&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 사무원 채용 (창원 진해점),케어링케어(주),경남 &gt; 창원시 진해구,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 220만원,2025-07-29T10:54:32+0900,2025-08-28T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51417261&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 사회복지사 채용 (경남 김해점),(주)케어링 주간보호센터 김해점,경남 &gt; 김해시,"계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 235만원,2025-07-29T10:35:40+0900,2025-08-28T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51416947&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,2025년 일산노인종합복지관 노년사회화교육 프로그램 강사 채용,고양시일산노인종합복지관,경기 &gt; 고양시 일산동구,"기간제,계약직,프리랜서",사회복지,학력무관,경력무관,"시급 40,000원",2025-07-29T09:59:17+0900,2025-08-10T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51416329&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,요양원 조리사 정규직/계약직 모집(경력사원),아이림재활요양원,충북 &gt; 청주시 상당구,"정규직,계약직",사회복지,학력무관,경력무관,면접후 결정,2025-07-28T18:44:07+0900,2025-08-27T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51412206&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
노인,[케어링] 주간보호 요양보호사 채용 (전남 여수점),(주)케어링 주간보호센터 여수점,전남 &gt; 여수시,"정규직,계약직 (정규직 전환가능),계약직",사회복지,학력무관,경력무관,월급 225만원,2025-07-28T17:02:09+0900,2025-08-27T23:59:59+0900,http://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=51411153&utm_source=job-search-api&utm_medium=api&utm_campaign=saramin-job-search-api
